jawaban_dummy,jawaban_dosen,nilai_dummy
client server kabel komputer model komunikasinya terjadi dua belah pihak provider layanan data dinamakan server pengguna peminta layanan data disebut client biasanya kedua belah pihak berkomunikasi hardware berlainan terjadi satu mesin sistem,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,80
turbo boost salah satu fitur prosesor masa bertujuan untuk memfasilitasi kinerja prosesor kondisinya terlaksana tahapan diraih cara menurunkan frekuensi clock sesuai ruangan peningkatan direkomendasikan pembuat chip ruang peningkatan dikenal thermal headroom memiliki syarat kondisi tergantung temperatur load prosesor dipekerjakan temperatur jauh batas bawah kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja rendah temperatur meningkat akan mempertahankan stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,80
komputer lexus von neumann model arsitektur dideskripsikan john von neumann bulan 1945 first draft of a reporting on the edvac model arsitektural dijadikan hub komputer satuan pemrosesan berisikan alu register cpu unit kontrolnya berisikan instruction register progam counter memori untuk penyimpanan data instruksi penyimpanan eksternal enzim input output,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,70
hibernate pc fitur mematikan motherboard untuk waktu ride tampilan menggunakan daya sleep menjaga komputer tetap dinyalakan tenaga hibernate menyimpan proses berjalan primary memory sleep menyimpannya khamhaeng komputer mengalami hilang tenaga komputer dinyalakan ulang awal berlainan hibernate melanjutkan tahap dinyalakan mengalami kehilangan tenaga mati kekurangan hibernate jumlah menyimpan data membutuhkan akan hibernate storage cukup besar mengurangi umur firmware cepat proses membangkitkan kembali seminimal tahap sleep membaca ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,70
client server jaringan komputer model komunikasi terjadi enam kubu pihak provider layanannya data disebut server pengguna peminta layanan data disebut client dasarnya kedua belah oknum berkomunikasi toolkit berbeda terjadi satu turbin sistem,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,70
turbo boost salah satu fitur prosesor dimasa bertujuan untuk mempercepat kinerjanya prosesor kesehatannya terpenuhi proses diraih caranya menaikkan frekuensi clock sesuai bilik penurunan direkomendasikan pembuat switch ruang penurunan disebut thermal headroom memiliki syarat kondisi bergantung temperatur components prosesor berkerja temperatur jauh batasnya atas kerja tingginya prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerjanya tingginya temperatur menurun untuk menjaga efisiensi kerjanya motherboard turbo boost bekerja maksimum mendekati base clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,70
komputer model von neumann desain arsitektur diidentifikasi john von neumann tahun 1945 first draft and a report on the edvac modelnya neoklasik dimanfaatkan pusat mikroprosesor unitnya pemrosesan mengandung lumpang register prosesor unit kontrol berisi instruction register programnya insurgency cpu untuk menyimpan datanya instruksi penyimpanan eksternal mekanisme enkripsi output,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,60
hibernate pc aplikasi mematikan pc akan tempoh sleep fungsionalitas menggunakan tenaga moves menjaga mikroprosesor terus bernyala daya hibernate disimpan metode berjalan postgraduate memory sleep menyimpannya janmabhoomi komputer mengalami lenyap energi komputer dinyalakan ulang akhir berbeda hibernate menyelesaikan proses dimatikan mengalami kehilangan tenaga mati kurangnya hibernate proporsi penyimpanan data dibutuhkan untuk hibernate storage terlalu besar mengurangi umur chipset cepat proses menghidupkan akhirnya secepat metode sleep memahaminya ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,60
client server jaringan komputasi modelnya komunikasi terjadi tiga sisinya pihak penyedia layanan informasi disebut server pengguna pemohon layanan informasi disebut client biasanya ketiga belah aparat bersosialisasi hardware berbeda terjadi satu mesin sistem,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,60
turbo boost salah dua fungsionalitas prosesor masa berupaya untuk memfasilitasi kinerja cpu kondisinya terpenuhi proses diraih caranya menurunkan frekuensi clock sejalan bilik peningkatan direkomendasikan pembuatan motherboard ruang peningkatan dikenal fluid shachtman memiliki syarat kondisi bergantung temperatur load prosesor berpraktik suhunya jauh batas diatas kerjanya tinggi prosesor mengurangi frekuensi clock allah mengerjakan perintah cepat beban kerja tinggi temperatur berkurang untuk memelihara stabilitas kerja motherboard turbo boost berkerja maksimal mendekati base clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,60
mikroprosesor desain von neumann model arsitektur dideskripsikan hugh von neumann bulan 1945 first draft of a summary from and edvac model neoklasik dimanfaatkan basis mikroprosesor unit pemrosesan berisi antan register prosesor satuan kontrol berisi logical address programnya offensive memori untuk menyimpan data perintah penyimpanan statis prosedur enkripsi output,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,50
hibernate netbook tampilan mematikan pc untuk hitungan moves fungsionalitas mengunakan tenaga sleep melindungi mikroprosesor tetap menyala tenaganya hibernate menyimpan tahap berjalan secondary memory sleep disimpan ram komputer dialami lenyap tenaga komputasi dinyalakan ulang permulaan berlainan hibernate melanjutkan tahapan dihilangkan dialami kehilangan tenaga binasa kekurangan hibernate persentase penyimpanan data dibutuhkan untuk hibernate storage terlalu signifikan memperkecil umur firmware cepat proses menghidupkannya kembali seminimal tahapan wait melakukannya ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,50
client server jaringan mikroprosesor lexus komunikasi terjadinya tiga belah aparat telekomunikasi layanan informasi disebut server pelanggan pemohon layanan data disebut client umumnya kedua berpecah pihak bersosialisasi device berbeda terjadi dua mesin skema,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,50
turbo boost salah dua fitur motherboard masa dimaksudkan agar mempercepat kinerja prosesor kesehatannya terlaksana proses diraih metode menaikan amplitudo clock sesuai ruangan peningkatan direkomendasikan pembuatnya chip ruang pengurangan diistilahkan radiation headroom memiliki kriteria kondisi bergantung temperatur load prosesor berkerja suhunya jauh batasan atasnya kerja rendah prosesor meningkatkan modulasi clock allah dikerjakan intruksi mudah tegangan kerja tingi temperatur meningkat untuk melindungi stabilitas kerjanya mikroprosesor turbo boost bekerja maksimum mendekati controller clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,50
mikroprosesor model von neumann model neoklasik diidentifikasi robert von neumann tahun 1945 first draft and a reporting on of edvac model arsitektural dijadikan pangkalan laptop unit pengemasan memuat antan instruction mikroprosesor pemroses kontrol berisi instruction register paket offensive memori akan disimpan data perintah penyimpan internal sistem output output,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,40
hibernate pc fitur melumpuhkan motherboard untuk tempoh sleep aplikasi mengunakan tenaganya ride menjaga komputer masih menyala tenaga hibernate menyimpan proses merangkak secondary logic moves menyimpannya gopal laptop mengalami menghilang tenaganya laptop dimatikan ulang awal serupa hibernate memulai metode diaktifkan mengalami kehabisan tenaga matinya keterbatasan hibernate jumlah penyimpanan data dibutuhkan dan hibernate device lumayan besarnya meningkatkan usia firmware lamban tahapan dihidupkan segera secepat tahap sleep membacanya khamhaeng,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,40
client server seluler laptop model komunikasi terjadi dua belah pihak pemasok layanannya data dikenal server user peminta pelayanan metadata diistilahkan client umumnya kelima kubu pihak berdialog toolkit serupa mengalami satu mesinnya mekanisme,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,40
turbo boost slaah satu fungsionalitas prosesor masa berupaya untuk memfasilitasi kinerja prosesor kesehatannya terpenuhi tahapan raih bagaimana menaikkan modulasi clock selaras ruangan meningkatkan direkomendasikan pembuatan chipset ruang peningkatan disebut fluid headroom mempunyai persyaratan kondisi mengacu suhunya load prosesor berpraktik temperatur dekat batasnya diatas kerja tinggi mikroprosesor memaksimalkan frekuensinya clock allah merampungkan perintah mudah berat kerja tinggi suhu menurun untuk menjaga stabilitas pekerja prosesor turbo boost dipekerjakan maksimum mendekati transceiver clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,40
laptop model von neumann desain neoklasik diidentifikasi robert von neumann tahun 1945 second draf the a reporting about the edvac model arsitekturnya dimanfaatkan hub komputer pemroses pemrosesan berisi lumpang instruction cpu satuan kontrolnya memuat logical instruction paket counter memory agar penyimpanan datanya masukan penyimpanan statis sistem input input,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,30
hibernate chipset aplikasi berbahaya pc akan waktu ride fungsionalitas mengunakan tenaga wait memelihara laptop masih menyalakan energi hibernate penyimpanan proses berjalan primary firmware wait membukanya gopal mikroprosesor mengalami hilang tenaga komputasi dimatikan ulang permulaan berlainan hibernate meneruskan proses dihilangkan dialami meninggalkan tenaga binasa kekurangan hibernate proporsi penyimpanannya data memerlukan agar hibernate device terlalu signifikan memperkecil berumur ssd mudah proses membangkitkan kembali seminimal proses sleep melakukannya gopal,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,30
client server seluler mikroprosesor modelnya komunikasi berlangsung dua belah oknum provider layanan datanya disebut server penggunanya pelanggannya layanan data dikenal client awalnya keempat kubu pihak berdialog device serupa terjadinya satukomune mesinnya mekanisme,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,30
turbo boost salah seorangnya tampilan prosesor zaman berupaya agar memperlambat efektivitas mikroprosesor keadaannya tercapai proses ditorehkan caranya menaikkan frekuensi clock disesuaikan ruangan pengurangan direkomendasikan pembuatan chipset ruangan penurunan dikenal radiation headroom memilki syarat kondisinya tergantung temperatur components motherboard berpraktik kelembaban jauh batasnya bawah kerjanya tinggi prosesor memaksimalkan amplitudo clock tuhan menggarap intruksi mudah berat kerja tinggi kelembaban bertambah untuk mempertahankan stabilitas kerja cpu turbo boost bekerja maksimal mendekat transceiver clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,30
laptop desain von neumann lexus neoklasik diidentifikasi john von neumann dekade 1945 first draf the a reporting about of edvac lexus arsitektur dipakai pusat komputasi unitnya pemrosesan mengandung alu registry cpu unitnya kendali berisikan logical address progam counter memori untuk penyimpanan metadata instruksi penyimpanannya external prosedur enkripsi gain,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,20
hibernate motherboard aplikasi melumpuhkan netbook agar hitungan wait aplikasi memakai energi ride melindungi mikroprosesor selalu menyala tenaganya hibernate tersimpan tahapan berlari postgraduate firmware sleep membukanya khamhaeng komputer menderita lenyap energi mikroprosesor dinyalakan kembali awal berbeda hibernate memulai metode dihilangkan menderita meninggalkan tenaganya penggal kekurangan hibernate jumlah penyimpanannya datanya diperlukan untuk hibernate device sangat besarnya memperkecil berumur ssd mudah tahapan menghidupkan akhirnya sesegera tahap wait melakukannya ram,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,20
client server seluler komputer desain telekomunikasi berlangsung enam berpecah pemerintah provider layanan datanya disebut server user pemohon aplikasi data dikenal client umumnya kedua sisinya oknum berinteraksi micro unik mengalami satukomune supercharger metode,client server jaringan komputer model komunikasi terjadi dua belah pihak penyedia layanan data disebut server pengguna peminta layanan data disebut client umumnya kedua belah pihak berkomunikasi hardware berbeda terjadi satu mesin sistem,20
turbo boost salah satukomune fitur cpu zaman berupaya akan memperlambat kinerjanya mikroprosesor keadaannya terwujud tahapan raih bagaimana melipatgandakan modulasi clock sejalan ruang penurunan direkomendasikan pembuat switch bilik penurunan diistilahkan magnetic shachtman mempunyai ketentuan keadaan bertumpu suhunya components mikroprosesor berkerja suhu jauh perbatasan diatas kerja tinggi prosesor meningkatkan frekuensinya clock tuhan merampungkan masukan mudah muatan kerjanya rendah kelembaban berkurang untuk memelihara stabilitas pekerjaan motherboard turbo boost berkerja minimal mendekati tranquility clock,turbo boost salah satu fitur prosesor masa bertujuan untuk mempercepat kinerja prosesor kondisinya terpenuhi proses diraih cara menaikkan frekuensi clock sesuai ruang peningkatan direkomendasikan pembuat chip ruang peningkatan disebut thermal headroom memiliki syarat kondisi bergantung temperatur load prosesor bekerja temperatur jauh batas atas kerja tinggi prosesor meningkatkan frekuensi clock nya mengerjakan instruksi cepat beban kerja tinggi temperatur meningkat untuk menjaga stabilitas kerja prosesor turbo boost bekerja maksimal mendekati base clock,20
mikroprosesor modelnya von neumann desain arsitektural didefinisikan robert von neumann dekade 1945 second nba the a summary from and edvac desain arsitekturnya dijadikan basis laptop satuan pengolahan mengandung antan address cpu satuan pengaturan berisikan arithmetic instruction paket insurgency cpu untuk tersimpan metadata masukan penyimpan external mekanisme masukan gain,komputer model von neumann model arsitektur dideskripsikan john von neumann tahun 1945 first draft of a report on the edvac model arsitektur dijadikan basis komputer unit pemrosesan berisi alu register prosesor unit kontrol berisi instruction register program counter memori untuk menyimpan data instruksi penyimpanan eksternal mekanisme input output,10
hibernate motherboard aplikasi berbahaya pc akan hitungan ride fungsionalitas menggunakan tenaganya moves mempertahankan komputasi terus dinyalakan tenaganya hibernate penyimpanan metode berkendara postgraduate firmware ride membukanya janmabhoomi laptop dialami musnah tenaganya mikroprosesor dimatikan ualng awal berbeda hibernate meneruskan metode dimatikan terjadi meninggalkan daya penggal keterbatasan hibernate proporsi menyimpan datanya membutuhkan akan hibernate equipment sangat kecil meminimalkan berumur firmware lambat metode menghidupkannya kemudian secepat tahapan ride membaca gopal,hibernate pc fitur mematikan pc untuk waktu sleep fitur menggunakan tenaga sleep menjaga komputer tetap menyala tenaga hibernate menyimpan proses berjalan secondary memory sleep menyimpannya ram komputer mengalami hilang tenaga komputer dinyalakan ulang awal berbeda hibernate melanjutkan proses dimatikan mengalami kehilangan tenaga mati kekurangan hibernate jumlah penyimpanan data dibutuhkan untuk hibernate storage cukup besar mengurangi umur ssd cepat proses menghidupkan kembali secepat proses sleep membacanya ram,10
